Nivel de desagregación geográfica,,Pobreza por Consumo,,,Pobreza Extrema por Consumo,,,Pobreza por Necesidades Básicas Insatisfechas,,,Tipología de Katzman,,,,,Desigualdad por consumo (Coeficiente de Gini)
,,Total (Población),No pobre (%),Pobre (%),Total (Población),No Pobre extremo (%),Pobre extremo (%),Total (Población),No Pobre (%),Pobre (%),Total (Población),Pobreza Crónica (%),Pobreza Reciente (%),Pobreza Inercial (%),No Pobres (%),
Área**,Nacional,15855456.2772953,74.1690467517221,25.8309532482792,15855456.2772953,94.261521222516,5.73847877748429,15952441.8409513,64.184412762642,35.8155872373602,15855456.2772953,18.4350915925604,7.39586165571881,17.404994705683,56.7640520460407,0.40771
,Urbano,10728723.3752609,84.4645116295945,15.5354883704062,10728723.3752609,98.0993470599072,1.90065294009295,10803359.7051138,75.6522413902903,24.3477586097098,10728723.3752609,10.0088706308341,5.526617739572,14.3779340983076,70.0865775312867,0.389952
,Rural,5126732.90203477,52.6237084621907,47.3762915378094,5126732.90203477,86.2300960325167,13.7699039674832,5149082.13583782,40.1236045578507,59.8763954421491,5126732.90203477,36.0686597000966,11.3076318377125,23.7397300073369,28.8839784548518,0.353411
Región Natural,Total,15855456.2772953,74.1690467517221,25.8309532482792,15855456.2772953,94.261521222516,5.73847877748429,15952441.8409513,64.184412762642,35.8155872373602,15855456.2772953,18.4350915925604,7.39586165571881,17.404994705683,56.7640520460407,0.40771
,Sierra,7108689.24224988,75.4766711583194,24.5233288416798,7108689.24224988,94.3963835151217,5.6036164848779,7139134.40562667,75.4189942585313,24.5810057414677,7108689.24224988,14.8591835528615,9.66414528881833,9.75391008440785,65.7227610739112,0.420531
,Costa,7885375.5024769,75.2084864438726,24.7915135561269,7885375.5024769,95.8141676492512,4.18583235074858,7948186.01016546,55.9648298227296,44.0351701772689,7885375.5024769,19.6150010738449,5.17651248228197,24.4637037232521,50.7447827206197,0.385119
,Amazonía,833447.934307946,52.3156389173391,47.6843610826603,833447.934307946,78.2290284637377,21.7709715362622,836466.801397299,45.8603789949305,54.1396210050691,833447.934307946,38.3897063956915,9.2946546869688,15.8026791800686,36.5129597372706,0.427158
,Galápagos,27943.5982611164,100,0,27943.5982611164,100,0,28654.6237623762,79.9945228649933,20.0054771350067,27943.5982611164,0,0,19.6974101946826,80.3025898053174,0.295248
Zonas de Planificación,Total,15855456.2772953,74.1690467517221,25.8309532482792,15855456.2772953,94.261521222516,5.73847877748429,15952441.8409513,64.184412762642,35.8155872373602,15855456.2772953,18.4350915925604,7.39586165571881,17.404994705683,56.7640520460407,0.40771
,Zona 1,1401651.56334511,61.593241926376,38.4067580736239,1401651.56334511,88.3860882025761,11.613911797424,1404586.78042916,56.6879140587699,43.3120859412302,1401651.56334511,27.4765787015448,10.9301793720791,15.7753520046528,45.8178899217235,0.38773
,Zona 2,719555.528646063,67.8791630289491,32.1208369710501,719555.528646063,88.3308110956712,11.6691889043287,721874.894914284,65.8868641444513,34.113135855548,719555.528646063,22.0795927508131,10.041244220237,12.0829989040901,55.796164124859,0.4523925
,Zona 3,1590009.78637808,58.6228052401627,41.3771947598384,1590009.78637808,87.3271417680841,12.6728582319156,1592071,62.6047597470521,37.3952402529492,1590009.78637808,27.0161323776473,14.3610623821909,10.3781655075228,48.2446397326399,0.4134546
,Zona 4,1876806.00546405,69.963910054176,30.0360899458241,1876806.00546405,94.3521563552299,*,1890221.35540856,47.4553730185279,52.5446269814724,1876806.00546405,24.7540085888613,5.28208135696287,27.8420705917344,42.1218394624417,0.3724692
,Zona 5,2590448.4385003,68.8533723791013,31.1466276208954,2590448.4385003,94.4898752405319,5.51012475946689,2613039.28032403,47.3219711278696,52.6780288721277,2590448.4385003,24.5833732767445,6.56325434415082,28.0901419960108,40.7632303830911,0.3813225
